skill_name,External_Sourcing,geo_group,city_ip,n_devs,n_devs_bi,n_accs,n_p2_devs,n_ntes,n_icfs,n_icfs_30,n_icfs_60,n_icfs_90,n_icfs_365,n_dcs,acc_days_median,p2_days_median,nte_days_median,icf_days_median,dc_days_median,hourly_rate_median,min_dev_skill_cost,max_dev_skill_cost,minCost_per_su,maxCost_per_su,su_to_icf_30_perc,su_to_icf_60_perc,su_to_icf_90_perc,su_to_icf_365_perc,rate_geo_median,city_tier,lat,lng
Python,N,ROW,Bhubaneswar,1860,1164,55,54,16,130,44,50,63,118,0,22.0,21.5,46.0,102.0,,1.755454545453685,1112.8120734875054,1353.4023362712985,0.5982860610147879,0.7276356646619885,0.023655913978494623,0.026881720430107527,0.03387096774193549,0.06344086021505377,2.278030303031032,2,20.27241,85.83385
Python,N,ROW,Visakhapatnam,1471,945,46,46,13,97,32,42,50,76,2,27.0,25.0,69.0,76.0,403.0,2.164128787875872,1721.7621174548412,2078.5851084223364,1.1704705081270166,1.4130422219050554,0.021753908905506457,0.028552005438477225,0.03399048266485384,0.05166553365057784,2.278030303031032,2,17.73,83.3
Python,N,ROW,Vijayawada,1462,902,41,44,15,102,41,48,51,88,2,28.5,23.0,70.0,88.5,82.5,2.278030303031032,1914.3253624818212,2311.96151389511,1.309388072832983,1.5813690245520586,0.0280437756497948,0.03283173734610123,0.03488372093023256,0.060191518467852256,2.278030303031032,2,16.51,80.43
React,N,LATAM,São Paulo,4890,4348,346,354,193,509,141,175,203,423,5,39.5,34.0,74.0,141.0,97.0,3.8007196968906416,17170.285939161433,22615.741823366337,3.511305918028923,4.624896078398024,0.02883435582822086,0.03578732106339468,0.04151329243353783,0.08650306748466258,2.4460227272726494,1,-23.5475,-46.63611
React,N,LATAM,Medellín,2395,2192,150,147,78,217,71,86,101,186,3,32.0,30.0,52.5,110.0,63.0,2.446022727272772,8906.960660924933,11630.981974892375,3.718981486816256,4.8563599060093425,0.02964509394572025,0.03590814196242171,0.042171189979123176,0.07766179540709812,2.4460227272726494,1,6.25184,-75.56359
React,N,LATAM,Rio de Janeiro,2137,1873,149,160,85,243,69,85,104,200,4,46.0,41.0,67.0,126.0,155.0,2.955059564418264,7621.226745120334,9883.825753365027,3.566320423547185,4.625093941677598,0.03228825456247075,0.0397753860552176,0.04866635470285447,0.09358914365933552,2.4460227272726494,1,-22.90642,-43.18223
React,N,LATAM,Brasília,1393,1242,104,112,64,136,29,41,47,115,5,62.0,56.5,72.0,166.5,76.0,2.85053977281849,4718.818204891068,6252.193579876314,3.3875220422764305,4.488294027190462,0.0208183776022972,0.029432878679109833,0.03374012921751615,0.08255563531945441,2.4460227272726494,1,-15.77972,-47.92972
React,N,LATAM,Lima,1280,1143,69,69,35,101,28,39,46,86,1,66.0,65.0,129.0,111.0,420.0,3.0006477273687477,6107.200420849459,7902.759244799667,4.77125032878864,6.174030659999739,0.021875,0.03046875,0.0359375,0.0671875,2.4460227272726494,1,-12.04318,-77.02824
React,N,LATAM,Belo Horizonte,1200,1073,119,118,64,149,37,54,66,128,3,49.0,49.0,73.5,130.0,86.0,3.8007196968906416,4276.645354815968,5482.338585140752,3.5638711290133065,4.5686154876172935,0.030833333333333334,0.045,0.055,0.10666666666666667,2.4460227272726494,1,-19.92083,-43.93778
React,N,LATAM,Curitiba,1135,1030,120,121,66,157,45,63,74,136,7,24.5,29.0,53.5,110.0,149.0,4.5608636363089055,3982.277459997834,5340.453154748703,3.5086145022007345,4.7052450702631745,0.039647577092511016,0.055506607929515416,0.06519823788546256,0.1198237885462555,2.4460227272726494,1,-25.42778,-49.27306
